A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0	0	#	1	1	#	1	0.03125	0.5	7	0	4945	68	0.6666666666666666	0	154	308
1	#	#	1	1	1	1	1.0	1.0	24	0	4997	69	0.6666666666666666	0	308	308
1	0	#	0	#	1	0	0.03074759889725214	0.49838187702265374	9	0	4994	70	0.6666666666666666	0	154	309
0	1	#	0	1	0	0	1.0	1.0	18	0	4988	73	0.8333333333333334	0	154	154
1	0	#	#	1	1	1	1.0	1.0	27	0	4999	74	0.6666666666666666	0	308	308
1	#	1	0	1	#	1	0.2373046875	0.75	5	0	4999	74	0.6666666666666666	0	231	308
1	0	1	0	1	1	1	1.0	1.0	24	0	4999	75	1.0	0	77	77
0	#	#	#	1	#	0	0.03125	0.5	4	0	4988	77	0.3333333333333333	0	615	1230
0	#	1	0	1	#	0	0.03125	0.5	3	0	4988	82	0.6666666666666666	0	154	308
1	#	#	1	#	1	1	0.23666228211779275	0.7495934959349594	6	0	4997	82	0.5	0	461	615
1	0	1	0	0	#	0	1.0	1.0	19	0	4970	84	0.8333333333333334	0	154	154
1	#	#	1	0	1	1	0.03074434724762547	0.498371335504886	3	0	4989	85	0.6666666666666666	0	153	307
#	1	1	1	#	#	1	0.23666228211779275	0.7495934959349594	4	0	4991	86	0.5	0	461	615
#	1	1	1	#	1	0	0.0	0.0	5	0	86	86	0.6666666666666666	0	0	307
#	0	#	1	1	#	1	0.23601918300981134	0.749185667752443	6	0	4997	87	0.5	0	460	614
0	1	#	#	0	1	0	0.031762284157648694	0.501628664495114	5	0	4993	88	0.6666666666666666	0	154	307
#	0	0	1	1	1	1	0.03125	0.5	4	0	4984	89	0.8333333333333334	0	77	154
1	1	1	1	1	#	1	0.03125	0.5	7	0	4973	93	0.8333333333333334	0	77	154
#	#	#	0	#	1	0	0.03125	0.5	1	0	4994	93	0.3333333333333333	0	613	1226
#	0	1	1	0	#	0	0.03125	0.5	3	0	4983	97	0.6666666666666666	0	153	306
#	0	1	1	1	1	0	0.0	0.0	4	0	98	98	0.8333333333333334	0	0	153
1	#	#	0	0	1	1	0.030242020769037464	0.49673202614379086	1	0	4952	101	0.6666666666666666	0	152	306
#	1	#	1	1	#	1	0.23925299138389772	0.7512274959083469	5	0	4991	101	0.5	0	459	611
1	0	#	#	1	#	1	1.0	1.0	13	0	4999	103	0.5	0	615	615
1	0	1	#	1	#	1	1.0	1.0	19	0	4999	104	0.6666666666666666	0	307	307
0	#	#	1	1	1	1	0.23473090830137805	0.7483660130718954	6	0	4991	104	0.6666666666666666	0	229	306
#	0	#	0	0	1	0	0.23473090830137805	0.7483660130718954	4	0	4994	106	0.6666666666666666	0	229	306
1	0	#	1	#	1	1	0.031762284157648694	0.501628664495114	6	0	4997	106	0.6666666666666666	0	154	307
1	#	#	#	1	#	1	0.2389234037835294	0.7510204081632653	7	0	4999	107	0.3333333333333333	0	920	1225
#	0	1	#	1	1	1	1.0	1.0	22	0	4999	108	0.6666666666666666	0	306	306
0	1	#	#	0	#	0	0.031506566766603836	0.5008183306055647	6	0	4998	109	0.5	0	306	611
1	#	#	#	1	0	1	0.031507412117519444	0.5008210180623974	4	0	4996	112	0.5	0	305	609
1	0	0	#	#	0	0	0.031765665426185655	0.5016393442622951	8	0	4981	115	0.6666666666666666	0	153	305
1	#	1	1	1	1	1	1.0	1.0	21	0	4997	117	0.8333333333333334	0	153	153
0	1	#	0	0	1	1	0.0	0.0	4	0	126	126	0.8333333333333334	0	0	153
0	1	1	0	0	0	0	1.0	1.0	12	0	4965	127	1.0	0	76	76
1	0	0	0	#	0	1	0.03125	0.5	3	0	4969	128	0.8333333333333334	0	76	152
#	0	0	#	1	#	0	0.03125	0.5	2	0	4980	128	0.5	0	304	608
0	1	1	0	#	#	0	1.0	1.0	21	0	4988	129	0.6666666666666666	0	304	304
#	1	#	0	0	0	0	1.0	1.0	11	0	4998	130	0.6666666666666666	0	305	305
1	0	0	0	#	0	0	0.03125	0.5	4	0	4953	131	0.8333333333333334	0	76	152
0	1	#	0	0	1	0	1.0	1.0	20	0	4993	135	0.8333333333333334	0	152	152
#	0	1	0	0	#	0	0.031769091625615795	0.5016501650165016	8	0	4970	139	0.6666666666666666	0	152	303
1	0	0	#	1	#	0	0.0	0.0	4	0	139	139	0.6666666666666666	0	0	304
1	0	#	#	#	1	1	0.03125	0.5	3	0	4999	141	0.5	0	304	608
#	0	1	0	1	1	1	1.0	1.0	18	0	4999	142	0.8333333333333334	0	152	152
1	#	1	0	1	1	1	1.0	1.0	20	0	4999	143	0.8333333333333334	0	152	152
#	0	1	0	0	1	1	0.03125	0.5	3	0	4995	143	0.8333333333333334	0	76	152
#	1	0	0	1	0	0	1.0	1.0	14	0	4967	144	0.8333333333333334	0	151	151
0	0	#	#	1	#	0	0.03125	0.5	1	0	4980	144	0.5	0	303	606
1	0	1	#	0	1	0	1.0	1.0	12	0	4983	146	0.8333333333333334	0	152	152
#	1	#	1	1	1	0	0.0	0.0	1	0	148	148	0.6666666666666666	0	0	304
1	#	#	0	0	0	0	1.0	1.0	21	0	4968	148	0.6666666666666666	0	303	303
1	0	1	1	1	1	1	1.0	1.0	17	0	4997	149	1.0	0	76	76
1	0	0	#	1	1	0	0.0	0.0	4	0	151	151	0.8333333333333334	0	0	152
#	#	1	1	1	#	1	0.5117009546055663	0.8745874587458746	7	0	4997	151	0.5	0	530	606
0	#	#	#	1	0	0	0.03125	0.5	2	0	4988	152	0.5	0	303	606
0	0	#	1	#	#	1	0.03048285250532689	0.4975206611570248	3	0	4987	154	0.5	0	301	605
#	1	1	0	1	#	0	0.2373046875	0.75	4	0	4988	154	0.6666666666666666	0	228	304
#	#	#	0	#	0	1	0.0009846599888118936	0.25041322314049586	1	0	4978	155	0.3333333333333333	0	303	1210
1	1	#	#	0	0	0	1.0	1.0	14	0	4982	157	0.6666666666666666	0	301	301
#	0	0	0	#	0	0	0.23469696901276463	0.7483443708609272	4	0	4985	158	0.6666666666666666	0	226	302
#	0	0	#	1	1	0	0.03073771602291326	0.49834983498349833	1	0	4980	162	0.6666666666666666	0	151	303
0	1	#	0	1	1	0	1.0	1.0	18	0	4960	163	0.8333333333333334	0	150	150
1	#	1	1	#	#	1	0.03203251548635433	0.5024793388429752	2	0	4997	163	0.5	0	304	605
#	1	1	0	1	0	0	1.0	1.0	10	0	4988	164	0.8333333333333334	0	152	152
1	#	#	0	0	#	0	0.23927892526186206	0.7512437810945274	5	0	4994	164	0.5	0	453	603
1	#	#	#	#	0	0	0.23567081401863207	0.7489643744821872	4	0	4982	166	0.3333333333333333	0	904	1207
1	0	0	1	1	1	1	1.0	1.0	15	0	4984	166	1.0	0	76	76
#	1	1	0	1	1	0	0.030228846862298545	0.4966887417218543	3	0	4960	167	0.8333333333333334	0	75	151
1	#	1	1	1	#	1	0.24124653953202002	0.7524752475247525	5	0	4997	171	0.6666666666666666	0	228	303
#	0	#	#	0	1	0	0.2373046875	0.75	4	0	4994	171	0.5	0	453	604
0	0	1	0	0	1	0	0.0	0.0	2	0	175	175	1.0	0	0	76
#	#	1	0	0	#	0	0.09457666128490486	0.6239600665557404	2	0	4971	175	0.5	0	375	601
0	1	#	1	#	1	1	1.0	1.0	11	0	4991	177	0.6666666666666666	0	301	301
#	0	1	0	0	1	0	0.030228846862298545	0.4966887417218543	3	0	4970	178	0.8333333333333334	0	75	151
0	1	#	1	0	1	1	1.0	1.0	27	0	4966	180	0.8333333333333334	0	150	150
1	0	1	0	#	1	0	0.030228846862298545	0.4966887417218543	2	0	4970	180	0.8333333333333334	0	75	151
#	1	#	0	#	0	0	1.0	1.0	18	0	4998	184	0.5	0	602	602
0	1	#	0	0	0	0	1.0	1.0	14	0	4998	184	0.8333333333333334	0	151	151
1	0	1	1	1	#	1	1.0	1.0	19	0	4997	185	0.8333333333333334	0	152	152
1	1	1	1	#	#	1	0.031772563657484126	0.5016611295681063	3	0	4989	188	0.6666666666666666	0	151	301
0	1	1	0	0	#	0	1.0	1.0	19	0	4971	189	0.8333333333333334	0	150	150
#	0	1	#	0	#	0	0.03099088036983762	0.49916805324459235	4	0	4983	190	0.5	0	300	601
1	0	0	1	1	#	1	1.0	1.0	21	0	4984	192	0.8333333333333334	0	150	150
0	#	1	0	0	1	0	0.030228846862298545	0.4966887417218543	3	0	4971	194	0.8333333333333334	0	75	151
1	1	#	#	1	1	0	0.0	0.0	1	0	194	194	0.6666666666666666	0	0	300
1	#	1	#	1	#	1	0.2373046875	0.75	8	0	4999	201	0.5	0	450	600
1	1	#	0	0	0	0	1.0	1.0	25	0	4950	204	0.8333333333333334	0	150	150
#	1	#	0	0	#	0	0.23929215283852034	0.7512520868113522	4	0	4998	205	0.5	0	450	599
1	1	#	1	1	#	1	0.03125	0.5	6	0	4973	209	0.6666666666666666	0	150	300
1	#	1	0	#	1	1	0.2373046875	0.75	6	0	4999	209	0.6666666666666666	0	225	300
0	#	1	1	0	1	1	1.0	1.0	13	0	4944	211	0.8333333333333334	0	148	148
1	0	#	#	1	#	0	0.0	0.0	1	0	212	212	0.5	0	0	600
0	1	1	1	0	1	0	0.0	0.0	4	0	213	213	1.0	0	0	74
#	0	1	0	1	1	0	0.0	0.0	3	0	215	215	0.8333333333333334	0	0	150
#	1	#	0	1	0	0	1.0	1.0	17	0	4988	215	0.6666666666666666	0	299	299
1	0	1	0	1	#	1	1.0	1.0	21	0	4999	220	0.8333333333333334	0	150	150
#	1	#	0	1	0	1	0.0	0.0	1	0	224	224	0.6666666666666666	0	0	299
1	#	#	#	0	0	0	1.0	1.0	12	0	4982	225	0.5	0	595	595
#	1	#	0	1	1	1	0.03177964894694541	0.5016835016835017	5	0	4990	225	0.6666666666666666	0	149	297
0	1	0	0	#	0	0	1.0	1.0	21	0	4998	226	0.8333333333333334	0	150	150
#	1	#	0	1	1	0	0.030727436538013315	0.4983164983164983	6	0	4960	226	0.6666666666666666	0	148	297
0	1	0	0	#	1	0	1.0	1.0	22	0	4993	229	0.8333333333333334	0	149	149
0	#	1	1	1	1	1	1.0	1.0	19	0	4991	230	0.8333333333333334	0	149	149
1	1	0	0	1	0	0	1.0	1.0	12	0	4943	231	1.0	0	74	74
1	1	#	0	1	0	0	1.0	1.0	17	0	4976	234	0.8333333333333334	0	149	149
#	0	1	#	1	#	1	1.0	1.0	8	0	4999	234	0.5	0	596	596
1	0	1	1	#	1	1	0.03125	0.5	6	0	4997	235	0.8333333333333334	0	75	150
0	1	#	0	1	1	1	0.0	0.0	1	0	235	235	0.8333333333333334	0	0	148
0	1	0	0	1	0	0	1.0	1.0	23	0	4967	236	1.0	0	74	74
#	0	#	0	1	1	1	0.2399710055247544	0.7516778523489933	10	0	4999	237	0.6666666666666666	0	224	298
#	1	#	0	1	#	0	0.23664071285347374	0.7495798319327731	13	0	4988	238	0.5	0	446	595
#	0	#	0	1	#	1	0.23930555886178018	0.7512605042016807	5	0	4999	239	0.5	0	447	595
1	0	1	0	0	1	1	0.0	0.0	1	0	240	240	1.0	0	0	74
1	0	#	0	1	1	1	1.0	1.0	18	0	4999	243	0.8333333333333334	0	150	150
0	1	#	1	0	#	1	1.0	1.0	16	0	4977	246	0.6666666666666666	0	296	296
1	1	#	0	1	1	1	1.0	1.0	18	0	4990	247	0.8333333333333334	0	149	149
#	#	#	0	0	0	0	0.5141436700149561	0.8754208754208754	5	0	4998	247	0.5	0	520	594
0	1	1	1	0	1	1	1.0	1.0	24	0	4944	248	1.0	0	74	74
#	#	1	0	1	0	0	0.03177964894694541	0.5016835016835017	3	0	4988	249	0.6666666666666666	0	149	297
0	1	1	1	1	#	1	1.0	1.0	18	0	4991	249	0.8333333333333334	0	150	150
0	1	#	0	1	#	0	1.0	1.0	18	0	4988	250	0.6666666666666666	0	297	297
#	1	#	1	#	1	1	1.0	1.0	15	0	4991	253	0.5	0	593	593
0	1	1	0	1	#	0	1.0	1.0	17	0	4988	253	0.8333333333333334	0	148	148
#	1	#	#	0	0	0	0.23797239863508846	0.7504215851602024	6	0	4998	255	0.5	0	445	593
0	#	#	0	0	0	0	0.23863935616512075	0.7508417508417509	5	0	4998	256	0.6666666666666666	0	223	297
#	#	#	0	1	0	0	0.095367431640625	0.625	5	0	4988	264	0.5	0	370	592
1	0	1	1	#	#	1	0.03125	0.5	2	0	4997	270	0.6666666666666666	0	148	296
1	0	#	0	0	1	1	0.0	0.0	3	0	276	276	0.8333333333333334	0	0	148
0	1	#	#	1	0	0	0.03125	0.5	3	0	4988	278	0.6666666666666666	0	148	296
#	0	1	0	1	#	1	1.0	1.0	14	0	4999	278	0.6666666666666666	0	296	296
1	#	0	1	1	1	1	1.0	1.0	10	0	4984	281	0.8333333333333334	0	148	148
1	1	0	0	#	1	1	1.0	1.0	13	0	4949	282	0.8333333333333334	0	146	146
0	#	#	1	0	1	1	0.23462633247291279	0.7482993197278912	7	0	4966	283	0.6666666666666666	0	220	294
0	1	#	#	#	1	0	0.03125	0.5	3	0	4993	286	0.5	0	295	590
#	1	#	1	1	1	1	1.0	1.0	24	0	4991	287	0.6666666666666666	0	295	295
0	#	0	0	1	0	0	1.0	1.0	14	0	4967	289	0.8333333333333334	0	147	147
#	1	0	0	1	1	1	0.03125	0.5	3	0	4949	291	0.8333333333333334	0	73	146
#	1	#	0	#	#	0	0.23865300611570664	0.7508503401360545	4	0	4998	292	0.3333333333333333	0	883	1176
1	0	#	1	1	0	1	1.0	1.0	7	0	4996	292	0.8333333333333334	0	148	148
1	1	1	0	1	1	1	1.0	1.0	14	0	4990	294	1.0	0	74	74
1	0	1	0	0	0	0	1.0	1.0	20	0	4968	303	1.0	0	73	73
1	0	#	#	0	0	0	1.0	1.0	15	0	4981	304	0.6666666666666666	0	293	293
0	0	1	#	1	#	1	1.0	1.0	20	0	4978	305	0.6666666666666666	0	293	293
0	1	#	#	1	1	1	0.03178692900760871	0.5017064846416383	9	0	4991	307	0.6666666666666666	0	147	293
0	0	1	1	#	#	1	1.0	1.0	12	0	4987	307	0.6666666666666666	0	293	293
0	1	1	#	0	#	0	0.03125	0.5	6	0	4971	314	0.6666666666666666	0	146	292
0	#	#	0	0	#	0	0.23663167407236005	0.7495741056218058	7	0	4998	315	0.5	0	440	587
1	1	#	0	1	1	0	0.0	0.0	2	0	320	320	0.8333333333333334	0	0	146
1	0	0	0	1	1	1	1.0	1.0	11	0	4992	321	1.0	0	73	73
#	#	1	1	0	1	1	0.2373046875	0.75	2	0	4989	322	0.6666666666666666	0	219	292
0	#	1	#	1	#	1	0.2373046875	0.75	6	0	4991	322	0.5	0	438	584
#	0	#	#	#	1	1	0.031383890120848516	0.5004277159965783	1	0	4999	325	0.3333333333333333	0	585	1169
#	1	1	1	1	#	1	0.2373046875	0.75	6	0	4991	325	0.6666666666666666	0	219	292
1	0	#	#	0	0	1	0.0	0.0	1	0	326	326	0.6666666666666666	0	0	292
#	1	1	1	1	1	1	1.0	1.0	13	0	4991	329	0.8333333333333334	0	146	146
0	0	#	#	#	1	1	0.030982907550520807	0.49914236706689535	4	0	4995	329	0.5	0	291	583
0	1	1	1	1	1	1	1.0	1.0	23	0	4991	335	1.0	0	73	73
0	1	0	0	1	1	0	1.0	1.0	16	0	4946	337	1.0	0	73	73
0	#	1	#	#	#	1	0.23560917653339686	0.7489251934651763	5	0	4995	340	0.3333333333333333	0	871	1163
1	#	0	0	0	1	1	0.030187174898880603	0.496551724137931	2	0	4938	342	0.8333333333333334	0	72	145
1	1	#	0	#	#	0	0.03098106872590841	0.4991364421416235	4	0	4976	342	0.5	0	289	579
0	0	1	#	#	1	1	1.0	1.0	9	0	4995	343	0.6666666666666666	0	290	290
1	1	#	0	1	#	0	0.03125	0.5	6	0	4976	346	0.6666666666666666	0	145	290
1	#	#	1	1	0	1	0.03125	0.5	5	0	4996	346	0.6666666666666666	0	146	292
0	#	1	#	0	0	0	0.0009934576438817406	0.2508591065292096	1	0	4965	347	0.6666666666666666	0	73	291
0	1	1	#	1	#	1	0.03125	0.5	6	0	4991	349	0.6666666666666666	0	146	292
#	1	#	#	#	0	0	0.23764554450712494	0.7502153316106804	3	0	4998	351	0.3333333333333333	0	871	1161
1	0	#	0	#	#	0	0.030982907550520807	0.49914236706689535	5	0	4994	354	0.5	0	291	583
0	0	1	1	#	0	1	1.0	1.0	16	0	4987	360	0.8333333333333334	0	145	145
#	1	0	0	0	0	0	1.0	1.0	18	0	4998	364	0.8333333333333334	0	145	145
0	1	1	#	0	1	0	0.03125	0.5	2	0	4971	370	0.8333333333333334	0	72	144
#	#	1	1	#	#	1	0.2383302032032043	0.7506471095772217	4	0	4997	371	0.3333333333333333	0	870	1159
0	1	1	0	#	#	1	0.0	0.0	2	0	375	375	0.6666666666666666	0	0	289
1	1	1	0	1	#	1	0.03234255232410432	0.503448275862069	6	0	4990	377	0.8333333333333334	0	73	145
1	1	0	0	1	0	1	0.0	0.0	2	0	379	379	1.0	0	0	72
#	1	#	0	#	1	1	0.03125	0.5	5	0	4990	381	0.5	0	289	578
0	1	0	1	0	1	1	1.0	1.0	12	0	4966	381	1.0	0	72	72
1	#	1	#	1	#	0	0.0009515237699497068	0.24870466321243523	1	0	4976	383	0.5	0	144	579
1	1	#	0	1	0	1	0.0	0.0	2	0	384	384	0.8333333333333334	0	0	144
#	1	0	#	1	0	0	0.2373046875	0.75	4	0	4967	385	0.6666666666666666	0	216	288
0	0	1	#	#	#	1	1.0	1.0	10	0	4995	386	0.5	0	577	577
1	1	1	0	#	1	1	1.0	1.0	16	0	4990	387	0.8333333333333334	0	144	144
0	#	#	0	1	1	0	0.2373046875	0.75	8	0	4960	387	0.6666666666666666	0	216	288
1	1	#	0	#	1	1	1.0	1.0	20	0	4990	388	0.6666666666666666	0	288	288
#	#	#	#	0	0	0	0.2383373434128952	0.7506516072980017	2	0	4998	393	0.3333333333333333	0	864	1151
1	#	#	0	#	#	0	0.031114248684967448	0.4995648389904265	3	0	4994	399	0.3333333333333333	0	574	1149
1	1	0	1	#	1	1	1.0	1.0	10	0	4958	400	0.8333333333333334	0	143	143
1	1	1	#	1	#	1	0.03125	0.5	7	0	4990	402	0.6666666666666666	0	144	288
0	#	0	0	1	1	0	1.0	1.0	12	0	4946	404	0.8333333333333334	0	142	142
1	1	#	1	#	1	1	1.0	1.0	22	0	4989	405	0.6666666666666666	0	287	287
0	#	0	0	1	#	0	1.0	1.0	6	0	4967	406	0.6666666666666666	0	286	286
1	0	0	0	1	#	1	1.0	1.0	8	0	4992	408	0.8333333333333334	0	144	144
0	1	0	0	1	#	0	1.0	1.0	16	0	4967	409	0.8333333333333334	0	143	143
#	#	#	0	1	#	1	0.03166081819581012	0.5013077593722755	1	0	4999	409	0.3333333333333333	0	575	1147
1	1	#	#	1	0	0	1.0	1.0	7	0	4976	412	0.6666666666666666	0	287	287
0	1	1	0	1	1	0	1.0	1.0	11	0	4960	413	1.0	0	72	72
#	1	0	0	1	#	0	0.23869568420059764	0.7508771929824561	11	0	4967	414	0.6666666666666666	0	214	285
0	1	1	1	#	#	1	1.0	1.0	17	0	4991	416	0.6666666666666666	0	287	287
0	#	1	1	1	#	1	1.0	1.0	7	0	4991	417	0.6666666666666666	0	286	286
1	1	#	0	#	0	0	1.0	1.0	20	0	4976	418	0.6666666666666666	0	285	285
0	0	1	0	1	#	0	0.0	0.0	4	0	419	419	0.8333333333333334	0	0	143
0	1	#	#	1	#	0	0.03125	0.5	3	0	4988	419	0.5	0	286	572
1	0	#	#	#	0	0	0.030978262520522132	0.49912739965095987	2	0	4981	422	0.5	0	286	573
1	1	#	#	1	1	1	1.0	1.0	22	0	4990	422	0.6666666666666666	0	286	286
1	1	0	1	1	1	1	1.0	1.0	14	0	4958	424	1.0	0	71	71
#	#	1	0	0	0	0	0.2373046875	0.75	6	0	4968	424	0.6666666666666666	0	213	284
0	1	0	#	1	1	1	0.03125	0.5	2	0	4963	427	0.8333333333333334	0	71	142
#	1	#	1	0	#	1	0.23661283757026225	0.7495621716287215	3	0	4989	431	0.5	0	428	571
0	1	1	#	1	1	0	0.0301725180847762	0.4965034965034965	6	0	4960	432	0.8333333333333334	0	71	143
