A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	InitTimeStamp	Specificity
#	1	0	#	#	#	0	0.031109614	0.499549955	1	560	0.333333333
#	1	#	1	#	1	1	1	1	22	570	0.5
#	#	#	1	0	#	0	0.031109361	0.499549143	1	571	0.333333333
0	#	1	0	1	0	1	0.030141957	0.496402878	1	576	0.833333333
#	#	0	0	0	0	0	1	1	9	586	0.666666667
0	#	#	0	0	#	0	0.236587755	0.749546279	3	586	0.5
1	#	#	#	#	0	0	0.236228965	0.749318801	7	591	0.333333333
#	0	#	1	0	#	0	0.235135555	0.748623853	6	636	0.5
0	1	#	#	0	#	1	0.031537751	0.500917431	1	642	0.5
#	1	0	#	#	#	1	0.031393744	0.500459137	1	642	0.333333333
1	#	#	#	1	0	0	0.030963305	0.49907919	1	655	0.5
1	#	1	#	1	#	1	0.238036657	0.750462107	1	671	0.5
0	#	0	1	#	1	0	0.030673448	0.498141264	1	699	0.666666667
#	1	#	#	0	1	1	0.236566341	0.74953271	5	713	0.5
#	1	#	0	#	0	0	1	1	27	783	0.5
#	1	#	#	#	#	0	0.031102036	0.499525617	1	783	0.166666667
0	#	1	#	0	1	1	0.240339235	0.751908397	2	795	0.666666667
#	#	#	#	0	0	0	0.235421924	0.748806113	4	803	0.333333333
0	#	1	#	0	0	1	0.237304688	0.75	1	839	0.666666667
0	1	#	#	#	#	1	0.03125	0.5	2	839	0.333333333
#	0	#	1	#	1	0	0.030950098	0.499036609	1	844	0.5
1	#	#	0	0	1	0	0.031862726	0.501945525	2	866	0.666666667
0	#	#	0	#	#	0	0.237689298	0.750242954	7	881	0.333333333
#	#	0	#	1	1	1	0.094996929	0.624513619	1	893	0.5
#	0	0	0	#	#	0	0.23807666	0.750487329	1	895	0.5
0	#	1	#	0	#	1	0.23807666	0.750487329	4	900	0.5
#	#	0	0	#	0	0	0.512192382	0.874755382	8	906	0.5
#	#	#	0	#	0	0	0.236918324	0.749755621	7	906	0.333333333
1	#	1	0	0	#	0	0.237304688	0.75	2	930	0.666666667
0	0	0	#	#	#	0	1	1	44	955	0.5
1	#	#	#	#	#	0	0.03125	0.5	1	961	0.166666667
#	0	1	#	#	#	1	0.239682471	0.751497006	13	987	0.333333333
1	1	#	#	#	0	0	1	1	34	992	0.5
1	0	#	#	1	#	1	1	1	32	999	0.5
0	0	#	#	#	1	0	0.03188002	0.502	1	1001	0.5
#	#	0	0	#	#	0	0.237703251	0.750251762	3	1023	0.333333333
0	0	1	#	#	#	1	1	1	37	1067	0.5
0	0	#	#	0	1	1	0.030000163	0.495934959	1	1067	0.666666667
#	#	#	1	#	#	1	0.095367432	0.625	2	1082	0.166666667
#	#	#	1	0	0	0	0.092489352	0.621181263	1	1089	0.5
#	#	1	0	0	#	0	0.095367432	0.625	1	1122	0.5
0	0	#	#	#	#	0	0.03125	0.5	2	1147	0.333333333
0	#	1	#	#	#	1	0.236894268	0.749740395	10	1152	0.333333333
0	1	#	#	#	0	1	0.03125	0.5	1	1154	0.5
#	0	0	#	0	#	0	1	1	20	1185	0.5
#	1	#	1	#	#	1	0.237719991	0.750262329	10	1198	0.333333333
#	0	#	#	0	1	0	0.236466156	0.749469214	6	1228	0.5
1	1	#	#	#	0	1	0	0	1	1248	0.5
1	#	#	#	0	#	0	0.237730728	0.750269107	11	1276	0.333333333
1	#	#	#	1	1	1	1	1	24	1277	0.5
1	0	#	#	0	#	1	0	0	1	1293	0.5
#	1	#	0	0	#	0	0.2355826	0.748908297	4	1304	0.5
#	0	0	1	#	#	0	0.236451688	0.749460043	2	1313	0.5
#	0	#	0	0	#	0	0.239900994	0.751633987	1	1314	0.5
#	0	#	#	1	0	1	0.233885369	0.747826087	2	1332	0.5
#	0	0	1	#	0	0	0.233825207	0.747787611	1	1388	0.666666667
0	1	#	1	#	#	1	1	1	26	1402	0.5
#	1	0	1	#	#	1	0.23818686	0.750556793	7	1410	0.5
#	#	0	#	0	#	0	0.238194802	0.750561798	5	1441	0.333333333
#	0	0	#	#	#	0	0.237756009	0.750285063	14	1505	0.333333333
#	0	#	#	0	#	0	0.237304688	0.75	11	1580	0.333333333
1	#	#	#	#	#	1	0.031158034	0.499705362	2	1598	0.166666667
#	0	#	1	#	#	1	0.03125	0.5	2	1604	0.333333333
1	#	1	#	0	#	0	0.235418332	0.748803828	3	1634	0.5
#	#	#	#	1	#	0	0.007489899	0.375746714	1	1652	0.166666667
#	1	#	#	0	0	0	0.231681609	0.746411483	3	1665	0.5
0	#	0	0	#	0	0	1	1	5	1674	0.666666667
#	0	#	1	1	1	1	0.233489579	0.747572816	1	1694	0.666666667
0	1	#	0	#	#	0	1	1	22	1752	0.5
#	0	#	0	0	1	0	0.24124654	0.752475248	1	1762	0.666666667
1	#	#	#	1	0	1	0.03125	0.5	2	1790	0.5
#	#	1	#	#	#	1	0.095248431	0.624843945	2	1796	0.166666667
#	0	0	#	#	1	0	0.23630509	0.749367089	1	1851	0.5
#	#	0	#	#	0	0	0.237304688	0.75	5	1888	0.333333333
1	#	0	#	#	0	0	0.233255215	0.74742268	3	1900	0.5
1	0	#	#	0	#	0	1	1	35	1932	0.5
1	#	#	#	#	1	1	0.237304688	0.75	11	1957	0.333333333
1	#	0	0	#	0	0	0.231092868	0.746031746	1	1971	0.666666667
#	#	1	0	0	0	0	0.235197199	0.748663102	1	1995	0.666666667
1	1	#	#	#	#	1	0.031037993	0.499319728	1	2057	0.333333333
0	#	1	1	#	#	1	1	1	17	2091	0.5
#	1	1	1	#	#	1	0.236205038	0.749303621	4	2132	0.5
0	1	#	#	#	1	0	0.03125	0.5	1	2132	0.5
#	#	0	#	0	0	0	0.509837633	0.87394958	5	2145	0.5
0	#	1	#	1	#	1	0.233962421	0.747875354	4	2176	0.5
0	1	#	#	#	#	0	0.030804851	0.498567335	1	2200	0.333333333
#	#	0	1	#	0	0	0.095913635	0.625714286	1	2208	0.5
1	0	#	#	#	#	0	0.031026467	0.49928264	1	2210	0.333333333
1	#	#	1	#	1	1	0.237304688	0.75	2	2223	0.5
#	0	1	1	#	#	1	0.237304688	0.75	1	2244	0.5
0	#	#	0	#	0	0	0.236112204	0.749244713	6	2352	0.5
1	0	0	#	#	#	1	0.03125	0.5	1	2366	0.5
1	0	#	#	#	#	1	0.031738272	0.501552795	1	2420	0.333333333
#	#	1	1	#	#	1	0.239332921	0.751277683	4	2650	0.333333333
#	1	1	0	1	#	0	0.240044897	0.751724138	2	2673	0.666666667
#	1	0	1	0	#	1	0.237304688	0.75	4	2690	0.666666667
1	1	#	1	#	#	1	0.030697894	0.498220641	2	2745	0.5
#	0	1	0	#	#	1	0.240248878	0.751851852	2	2839	0.5
0	0	#	#	#	0	0	0.03125	0.5	1	2849	0.5
#	1	1	0	#	#	0	0.237304688	0.75	3	2885	0.5
0	#	#	#	1	#	1	0.030947778	0.499029126	1	2944	0.333333333
1	1	0	1	0	#	0	0.03125	0.5	1	2945	0.833333333
1	0	#	#	0	1	1	0	0	1	3084	0.666666667
0	#	0	0	#	#	0	1	1	16	3120	0.5
#	0	1	1	0	1	0	0.028603283	0.49122807	1	3148	0.833333333
0	1	#	0	#	#	1	0	0	1	3184	0.5
1	#	1	1	#	1	1	0.237304688	0.75	1	3193	0.666666667
0	0	1	#	#	1	0	0	0	1	3292	0.666666667
0	#	#	1	#	1	1	0.235436156	0.748815166	4	3310	0.5
0	1	#	1	#	#	0	0	0	1	3330	0.5
1	#	#	0	1	#	1	0.237304688	0.75	1	3390	0.5
1	#	#	1	1	#	1	0.239361042	0.751295337	1	3444	0.5
#	#	1	0	1	#	1	0.092922243	0.621761658	1	3456	0.5
#	0	0	#	#	0	0	0.232893943	0.747191011	1	3575	0.5
#	0	1	#	#	0	1	0.239547627	0.751412429	2	3584	0.5
0	1	1	0	#	#	1	0	0	1	3653	0.666666667
0	#	0	#	#	0	0	0.239834565	0.751592357	2	3734	0.5
0	#	#	1	#	#	1	0.236035681	0.749196141	3	3758	0.333333333
#	1	0	1	#	0	1	0.03125	0.5	1	3778	0.666666667
0	0	#	0	#	#	1	0.03125	0.5	1	3799	0.5
#	#	#	#	1	1	1	0.230764168	0.745819398	4	3806	0.333333333
0	1	1	#	#	#	1	0.030141957	0.496402878	1	3886	0.5
#	#	1	#	1	1	1	0.501902716	0.871212121	3	3934	0.5
#	#	#	#	1	0	0	0.032442612	0.503759398	1	3936	0.333333333
#	1	1	#	1	#	0	0.03125	0.5	1	3973	0.5
0	1	0	0	#	#	1	0	0	1	3987	0.666666667
#	0	1	0	#	1	1	0.231092868	0.746031746	2	3995	0.666666667
#	1	0	0	#	#	0	0.243859671	0.754098361	2	4016	0.5
1	#	0	0	#	#	0	0.029979846	0.495867769	1	4019	0.5
#	0	#	#	#	0	0	0.029914729	0.495652174	1	4076	0.333333333
1	#	0	#	1	#	1	0.237304688	0.75	2	4286	0.5
1	0	#	0	0	#	1	0	0	1	4322	0.666666667
1	#	1	#	#	1	1	0.23234033	0.746835443	2	4361	0.5
1	0	1	#	#	#	1	0.033389635	0.506666667	1	4383	0.5
0	#	1	#	#	1	1	0.226806162	0.743243243	3	4395	0.5
#	1	#	#	0	#	0	0.028228185	0.489932886	2	4405	0.333333333
0	#	0	#	1	0	0	0.248188433	0.756756757	1	4407	0.666666667
#	0	0	#	0	#	1	0	0	2	4412	0.5
0	0	#	1	#	#	1	0.03125	0.5	1	4484	0.5
1	#	#	0	#	0	0	0.217206178	0.736842105	1	4531	0.5
1	0	#	#	1	#	0	0	0	1	4596	0.5
0	0	0	#	0	#	1	0	0	1	4641	0.666666667
0	#	#	1	0	#	1	0.246224926	0.755555556	1	4654	0.5
#	1	0	#	1	0	0	0.284628021	0.777777778	1	4704	0.666666667
0	#	0	0	#	0	1	0	0	1	4720	0.666666667
#	1	0	#	1	#	0	0.03125	0.5	1	4832	0.5
0	#	0	0	#	#	1	0	0	1	4848	0.5
#	#	#	#	0	#	1	0.00827719	0.383333333	1	4876	0.166666667
0	#	0	#	#	0	1	0.000976563	0.25	1	4897	0.5
1	0	1	#	0	#	1	0	0	1	4898	0.666666667
1	1	#	#	1	1	0	0	0	1	4914	0.666666667
#	0	#	1	0	1	1	0.004115226	0.333333333	1	4940	0.666666667
0	1	#	1	1	#	0	0	0	1	4948	0.666666667
0	#	1	1	#	1	0	0	0	1	4971	0.666666667
1	#	#	#	0	#	1	0.004115226	0.333333333	1	4981	0.333333333
